/cm/local/apps/slurm/var/spool/job851027/slurm_script: line 12: activate: No such file or directory
A.L.E: Arcade Learning Environment (version 0.8.1+53f58b7)
[Powered by Stella]
Episode 0, Total Reward: 6.0, Epsilon: 0.99995125
Episode 1, Total Reward: 0.0, Epsilon: 0.9999024999999999
Episode 2, Total Reward: 0.0, Epsilon: 0.9998537499999999
Episode 3, Total Reward: 6.0, Epsilon: 0.9998049999999998
Episode 4, Total Reward: 0.0, Epsilon: 0.9997562499999998
Episode 5, Total Reward: 0.0, Epsilon: 0.9997074999999997
Episode 6, Total Reward: 6.0, Epsilon: 0.9996587499999997
Episode 7, Total Reward: 0.0, Epsilon: 0.9996099999999997
Episode 8, Total Reward: 0.0, Epsilon: 0.9995612499999996
Episode 9, Total Reward: 6.0, Epsilon: 0.9995124999999996
Episode 10, Total Reward: 0.0, Epsilon: 0.9994637499999995
Episode 11, Total Reward: 0.0, Epsilon: 0.9994149999999995
Episode 12, Total Reward: 6.0, Epsilon: 0.9993662499999995
Episode 13, Total Reward: 0.0, Epsilon: 0.9993174999999994
Episode 14, Total Reward: 0.0, Epsilon: 0.9992687499999994
Episode 15, Total Reward: 6.0, Epsilon: 0.9992199999999993
Episode 16, Total Reward: 0.0, Epsilon: 0.9991712499999993
Episode 17, Total Reward: 0.0, Epsilon: 0.9991224999999992
Episode 18, Total Reward: 6.0, Epsilon: 0.9990737499999992
Episode 19, Total Reward: 0.0, Epsilon: 0.9990249999999992
Episode 20, Total Reward: 0.0, Epsilon: 0.9989762499999991
Episode 21, Total Reward: 6.0, Epsilon: 0.9989274999999991
Episode 22, Total Reward: 0.0, Epsilon: 0.998878749999999
Episode 23, Total Reward: 0.0, Epsilon: 0.998829999999999
Episode 24, Total Reward: 6.0, Epsilon: 0.998781249999999
Episode 25, Total Reward: 0.0, Epsilon: 0.9987324999999989
Episode 26, Total Reward: 0.0, Epsilon: 0.9986837499999989
Episode 27, Total Reward: 6.0, Epsilon: 0.9986349999999988
