/home/rsaadatifard/anaconda/envs/envRL/lib/python3.8/site-packages/google/protobuf/internal/api_implementation.py:87: UserWarning: Selected implementation cpp is not available.
  warnings.warn(
python version: 3.8.20 (default, Oct  3 2024, 15:24:27) 
[GCC 11.2.0]'
GPU available: True
running on cuda


----------------------------------------------
INFO:
----------------------------------------------
GAME: roms/ms_pacman.bin
DEVICE: cuda
NAME: FRANKbootstrap_fasteranneal_pong
DUELING: False
DOUBLE_DQN: True
PRIOR: True
PRIOR_SCALE: 1
N_ENSEMBLE: 1
LEARN_EVERY_STEPS: 4
BERNOULLI_PROBABILITY: 1.0
TARGET_UPDATE: 10000
MIN_HISTORY_TO_LEARN: 50000
NORM_BY: 255.0
EPS_INITIAL: 1.0
EPS_FINAL: 0.01
EPS_EVAL: 0.0
EPS_ANNEALING_FRAMES: 1000000
EPS_FINAL_FRAME: 0.01
NUM_EVAL_EPISODES: 5
BUFFER_SIZE: 1000000
CHECKPOINT_EVERY_STEPS: 10000000
EVAL_FREQUENCY: 250000
ADAM_LEARNING_RATE: 6.25e-05
RMS_LEARNING_RATE: 0.00025
RMS_DECAY: 0.95
RMS_MOMENTUM: 0.0
RMS_EPSILON: 1e-05
RMS_CENTERED: True
HISTORY_SIZE: 4
N_EPOCHS: 90000
BATCH_SIZE: 32
GAMMA: 0.99
PLOT_EVERY_EPISODES: 50
CLIP_GRAD: 5
SEED: 101
RANDOM_HEAD: -1
NETWORK_INPUT_SIZE: (84, 84)
START_TIME: 1733400504.4129055
MAX_STEPS: 200000
MAX_EPISODE_STEPS: 27000
FRAME_SKIP: 4
MAX_NO_OP_FRAMES: 30
DEAD_AS_END: True
IMPROVEMENT: ['swin', '']
----------------------------------------------


----------------------------------------------
starting NEW project: model_savedir/ms_pacman08
Training Progress:   0%|          | 0/200000 [00:00<?, ?step/s]step : 0
Step: 50004, Avg Reward (last 30): 235.67, Loss: 0.1671
Step: 50008, Avg Reward (last 30): 235.67, Loss: 0.0983
Step: 50012, Avg Reward (last 30): 235.67, Loss: 0.0808
Step: 50016, Avg Reward (last 30): 235.67, Loss: 0.1686
Step: 50020, Avg Reward (last 30): 235.67, Loss: 0.2416
Step: 50024, Avg Reward (last 30): 235.67, Loss: 0.2853
Step: 50028, Avg Reward (last 30): 235.67, Loss: 0.2842
Step: 50032, Avg Reward (last 30): 235.67, Loss: 0.2738
Step: 50036, Avg Reward (last 30): 235.67, Loss: 0.2623
Step: 50040, Avg Reward (last 30): 235.67, Loss: 0.2531
Step: 50044, Avg Reward (last 30): 235.67, Loss: 0.2759
Step: 50048, Avg Reward (last 30): 235.67, Loss: 0.2835
Step: 50052, Avg Reward (last 30): 235.67, Loss: 0.2882
Step: 50056, Avg Reward (last 30): 235.67, Loss: 0.3002
Step: 50060, Avg Reward (last 30): 235.67, Loss: 0.3101
Step: 50064, Avg Reward (last 30): 235.67, Loss: 0.3039
Step: 50068, Avg Reward (last 30): 235.67, Loss: 0.3021
Step: 50072, Avg Reward (last 30): 235.67, Loss: 0.2987
Step: 50076, Avg Reward (last 30): 235.67, Loss: 0.2926
Step: 50080, Avg Reward (last 30): 235.67, Loss: 0.2827
Step: 50084, Avg Reward (last 30): 235.67, Loss: 0.2752
Step: 50088, Avg Reward (last 30): 235.67, Loss: 0.2666
Step: 50092, Avg Reward (last 30): 235.67, Loss: 0.2568
Step: 50096, Avg Reward (last 30): 235.67, Loss: 0.2476
Step: 50100, Avg Reward (last 30): 235.67, Loss: 0.2393
Step: 50104, Avg Reward (last 30): 235.67, Loss: 0.2316
Step: 50108, Avg Reward (last 30): 235.67, Loss: 0.2267
Step: 50112, Avg Reward (last 30): 235.67, Loss: 0.2228
